Schottlaender v4.0,Title,Publisher,Year,Description,Maynard and Miles,Image
A6a,The Ticket That Exploded,Paris: The Olympia Press,1962,"First. Signed by Burroughs, inscribed ""For Ralph"", without dust jacket.",A6a,The%20Ticket%20That%20Exploded_1.resources/the-ticket-that-exploded_522293744_o.jpg
A6a,The Ticket That Exploded,Paris: The Olympia Press,1962,First. Signed by Burroughs. With slight yellowing on dust jacket.,A6a,The%20Ticket%20That%20Exploded_6.resources/the-ticket-that-exploded_522293782_o.jpg
C38,Evergreen Review 6(22),,1962,,C39,Evergreen%20Review%206(22).resources/evergreen-review-622_686753291_o.jpg
C44,Rhinozeros 6,,1962,,C43,Rhinozeros%206.resources/rhinozeros-6_528564514_o.jpg
C45,Rhinozeros 7,,1962,,C45,Rhinozeros%207.resources/rhinozeros-7_528564508_o.jpg
G89,Takis,,1962,,F5,Statement%20on%20Takis.resources/statement-on-takis_522290718_o.jpg
A7a,Dead Fingers Talk,London: John Calder,1963,First.,A7a,Dead%20Fingers%20Talk.resources/dead-fingers-talk_522293406_o.jpg
A8a,The Yage Letters,San Francisco: City Lights Books,1963,First.,A8a,The%20Yage%20Letters.resources/the-yage-letters_522288536_o.jpg
,LSD: The Consciousness-Expanding Drug,New York: Putnam,1964,"First. Personal copy of Owsley Stanley, signed by Stanley.",B15a,LSD%3A%20The%20Consciousness-Expanding%20Drug.resources/lsd-the-consciousness-expanding-drug_522302539_o.jpg
A1c,Junkie,"New York, NY: Ace Books",1964,"First American, first state.",A1c,Junkie.resources/junkie_12650178874_o.jpg
A2d,The Naked Lunch,London: John Calder,1964,First English.,A2c,The%20Naked%20Lunch_1.resources/the-naked-lunch_522290270_o.jpg
A2d,The Naked Lunch,London: John Calder,1964,"First English. An advance copy in the form of unbound signatures, uncut. Fingermarks, slightly soiled.",A2c,The%20Naked%20Lunch.resources/the-naked-lunch_522297981_o.jpg
A9,The Coldspring News,"Flint, MI: Fenian Head Centre Press",1964,"First. Per Brewer's Books: ""This is one of the separately issued copies with no fold creases. Newsprint very tanned penciled price in upper right hand corner as it was sold in some bookstores in the '60's for ten cents each. ... No copyright at lower edge which according to Maynard and Miles (C124c) means it is a 'later state' ...""",C124c,The%20Coldspring%20News.resources/the-coldspring-news_8500953103_o.jpg
A10a,Nova Express,"New York: Grove Press, Inc.",1964,First. Tear on spine of dust jacket.,A10a,Nova%20Express_3.resources/nova-express_522295568_o.jpg
A10a,Nova Express,"New York: Grove Press, Inc.",1964,"First. Signed by Burroughs, inscribed ""For Gerald Holsinger with all best wishes William S. Burroughs July 27, 1965 New York"".",A10a,Nova%20Express_1.resources/nova-express_522294502_o.jpg
A11,Pry Yourself Loose And Listen,"Tangier, Morocco: Ira Cohen",1964,First. In wrappers.,,Pry%20Yourself%20Loose%20And%20Listen.resources/pry-yourself-loose-and-listen_16651284520_o.jpg
A12,Roosevelt After Inauguration,New York: Fuck You Press,1964,First.,A9a,Roosevelt%20After%20Inauguration.resources/roosevelt-after-inauguration_522288680_o.jpg
A12,Roosevelt After Inauguration,New York: Fuck You Press,1964,"First. Signed by Burroughs and Allen Ginsberg, dated ""1978"" by Ginsberg.",A9a,Roosevelt%20After%20Inauguration_2.resources/roosevelt-after-inauguration_522296883_o.jpg
C64,Arcade 1,,1964,,"C84, C85, C86",Arcade%201.resources/arcade-1_522298861_o.jpg
C89,My Own Mag 9,,1964,,C101,My%20Own%20Mag%209.resources/my-own-mag-9_522291404_o.jpg
A10b,Nova Express,"New York: Grove Press, Inc.",1965,"Second, sixth printing. Wrappers partially separated from spine.",A10b,Nova%20Express_2.resources/nova-express_522302165_o.jpg
A13a,"Health Bulletin: APO-33, A Metabolic Regulator",New York: Fuck You Press,1965,"First. From James Musser's description: ""Mimeographed sheets, stapled at the edge. The correct first edition. The legendarily rare Fuck You Press edition of this title published by Ed Sanders who abandoned the project before completion. According to Sanders ""maybe as many as ten or twenty"" copies were distributed before he halted publication due to Burroughs' dissatisfaction with the copy he'd received. Maynard and Miles state that ""a good early copy was secured by Bill Beckman,"" and that is the copy offered here. Bill Beckman was an artist from Texas who designed album covers for The Fugs, and a good friend of Sanders who regularly gave him copies of current Fuck You Press publications. This copy bears Beckman's ownership signature on the title page. If only 10 or 20 copies did exist originally, far fewer have been accounted for. We know of only 3 copies in private hands, NUC and WORLDCAT turn up no copies in institutions (though there is a copy at Northwestern), and we've never seen a copy offered for sale. The cover sheet has pulled loose from two staples, else fine with all of the illustrations pasted in. Housed in a handsome clamshell box.""",A12a,"Health%20Bulletin%3A%20APO-33,%20A%20Metabolic%20Regulator.resources/health-bulletin-apo-33-a-metabolic-regulator_522300089_o.jpg"
A15a,Time,"New York: ""C"" Press",1965,"First. Number 91 of 100, signed by Burroughs and Gysin. Some wear on spine.",A11a,Time_1.resources/time_522292354_o.jpg
A15a,Time,"New York: ""C"" Press",1965,"First. Signed by Burroughs and Brion Gysin, who contributed four drawings. Number 22 of 100, some yellowing and wear on spine.",A11a,Time_3.resources/time_528568466_o.jpg
A16,Valentine's Day Reading,New York: The American Theatre for Poets,1965,"First. Per James Musser: ""Program distributed on the occasion of Burroughs' appearance at the East End Theatre in New York, 1965, for a Valentine's Day reading sponsored by The American Theatre for Poets.  Prints ""Transcript of Dutch Schultz's Last Words"" and ""The Coldspring News.""  This is Lawrence Ferlinghetti's copy with the notation ""Save for CLJ #3"" in Ferlinghetti's hand.  Ferlinghetti was apparently going to include this piece in City Lights Journal #3, but decided against it.  Signed by William Burroughs."" These are pages 1 through 6, lacking the cover sheet and page 7 (""The Coldspring News"").",F12,Valentine's%20Day%20Reading.resources/valentines-day-reading_522299687_o.jpg
C107,The Marijuana Newsletter 1,,1965,,C103,The%20Marijuana%20Newsletter%201.resources/the-marijuana-newsletter-1_522292180_o.jpg
C108,The Marijuana Newsletter 2,,1965,,C110,The%20Marijuana%20Newsletter%202.resources/the-marijuana-newsletter-2_522299831_o.jpg
"C113, C110",My Own Mag 11,,1965,,"C105, C106, C107, C108",My%20Own%20Mag%2011.resources/Evernote%20Snapshot%2020171104%20144557.jpg
"C114, C96",My Own Mag 12,,1965,,"C112, C113",My%20Own%20Mag%2012.resources/my-own-mag-14_522291582_o.jpg
C115,My Own Mag 13,,1965,Limited. Numbered 398 of 500.,C122,My%20Own%20Mag%2013.resources/my-own-mag-13_522291516_o.jpg
"C116, C112",My Own Mag 14,,1965,,C131,My%20Own%20Mag%2014.resources/my-own-mag-12_522291434_o.jpg
C119,Paris Review 35,,1965,Signed by Burroughs at entry.,"C127, E3",Paris%20Review%2035.resources/paris-review-35_522288748_o.jpg
A2e,Naked Lunch,"New York: Grove Press, Inc.",1966,Second printing.,A2d,Naked%20Lunch.resources/Evernote%20Snapshot%2020171107%20212339.jpg
A5b,The Soft Machine,"New York: Grove Press, Inc.",1966,First American.,A5b,The%20Soft%20Machine_3.resources/the-soft-machine_522301711_o.jpg
A10c,Nova Express,London: Jonathan Cape,1966,First English. With wording on page 4 blacked out with black magic marker.,A10c,Nova%20Express.resources/nova-express_522293982_o.jpg
A13b,APO-33 Bulletin,"San Francisco: Beach Books, Texts and Documents",1966,Second. Some yellowing and chipping of pages.,A12b,APO-33%20Bulletin.resources/apo-33-bulletin_522299879_o.jpg
C126,East Side Review 1(1),,1966,,C132,East%20Side%20Review%201(1).resources/east-side-review-11_522298157_o.jpg
C142,My Own Mag 15,,1966,,"C137, C138, C139, C140",My%20Own%20Mag%2015.resources/my-own-mag-15_687614572_o.jpg
C146,The Invisible Generation,London: Project Sigma,1966,"First edition thus. 11 3/8"" x 17"", offset-printed on recto only.",,The%20Invisible%20Generation.resources/Evernote%20Snapshot%2020161021%20081225.jpg
A5c,The Soft Machine,"New York: Grove Press, Inc.",1967,"First American paperback. Owner's signature, some yellowing.",A5c,The%20Soft%20Machine.resources/the-soft-machine_522293802_o.jpg
A6b,The Ticket That Exploded,"New York: Grove Press, Inc.",1967,First American. Dust jacket slightly torn vertically on back.,A6b,The%20Ticket%20That%20Exploded_2.resources/the-ticket-that-exploded_522297367_o.jpg
A6b,The Ticket That Exploded,"New York: Grove Press, Inc.",1967,First American. Signed by Burroughs. Dust jacket slightly yellowed.,A6b,The%20Ticket%20That%20Exploded_5.resources/the-ticket-that-exploded_522302649_o.jpg
A17a,So Who Owns Death TV?,"San Francisco: Beach Books, Texts and Documents",1967,First.,A13a,So%20Who%20Owns%20Death%20TV__1.resources/so-who-owns-death-tv_522298587_o.jpg
A17a,So Who Owns Death TV?,"San Francisco: Beach Books, Texts and Documents",1967,First (variant). Some creasing in lower left hand corner and close to spine.,A13a,So%20Who%20Owns%20Death%20TV_.resources/so-who-owns-death-tv_522338258_o.jpg
A17b,So Who Owns Death TV?,"San Francisco: Beach Books, Texts and Documents",1967,Second. Slight evidence of price sticker removal on front wrapper.,A13b,So%20Who%20Owns%20Death%20TV__2.resources/so-who-owns-death-tv_522298619_o.jpg
A18a,Burroughs Pelieu Kaufman,Paris: L'Herne,1967,First. Number 33 of 40. With uncut pages and with signed and numbered lithograph by Jean Helion laid in.,D11,Burroughs%20Pelieu%20Kaufman.resources/burroughs-pelieu-kaufman_522292498_o.jpg
C162,Klacto 23,,1967,,C174,Klacto%2023.resources/klacto-23_522298097_o.jpg
D143,Les lettres du Yage,Paris: L'Herne,1967,"First French. Presentation copy  inscribed by Burroughs ""For Mary Beach and Claude Pelieu William Burroughs"" , also signed by Allen Ginsberg ""Allen Ginsberg Ah.""",D10,Les%20lettres%20du%20Yage.resources/les-lettres-du-yage_522297281_o.jpg
A4b,Minutes To Go,"San Francisco: Beach Books, Texts and Documents",1968,First American. Owner's signature.,A3b,Minutes%20To%20Go_2.resources/minutes-to-go_522301753_o.jpg
A4b,Minutes To Go,"San Francisco: Beach Books, Texts and Documents",1968,"First American. Personal copy of Kathy Acker, signed by Acker.",A3b,Minutes%20To%20Go_1.resources/minutes-to-go_522295030_o.jpg
A5d,The Soft Machine,London: Calder & Boyars,1968,"First British.  Inscribed by Burroughs to his agent Michael Henshaw ""For Michael Henshaw with friendship and best wishes William S. Burroughs.""",A5d,The%20Soft%20Machine_4.resources/the-soft-machine_522288824_o.jpg
A6c,The Ticket That Exploded,"New York: Grove Press, Inc.",1968,"Second printing. Inscribed by Burroughs on title page “For Richard Aaron William S. Burroughs."" Per Ken Lopez, at one time this was in the collection of Robert and Donna Jackson: ""Jackson, a book collector long before he purchased Burroughs' papers, also acquired a number of other copies of Burroughs titles, including ... another group inscribed to Richard Aaron, the bookseller who had helped facilitate the sale of the [Vaduz] archive.""",A6c,The%20Ticket%20That%20Exploded_4.resources/Evernote%20Snapshot%2020171107%20212106.jpg
A6d,The Ticket That Exploded,London: Calder & Boyars,1968,"First English. Signed by Burroughs, inscribed ""For Brad"".  I obtained this item from Red Stodolsky of Baroque Books in Hollywood in the late Eighties; I remember Red smiling gnomically when he handed it to me, as if he'd arranged to get it inscribed for me, but I have no real proof that that was the case. Slight tear and rubbing on spine of dust jacket.",A6d,The%20Ticket%20That%20Exploded.resources/the-ticket-that-exploded_522291614_o.jpg
A13c,APO-33 Bulletin,"San Francisco: Beach Books, Texts and Documents",1968,Third. Second printing of Beach edition.,A12c,APO-33%20Bulletin_1.resources/apo-33-bulletin_522292322_o.jpg
A20,Apomorphine,,1969,"[Paris]: L'Herne, [1969]. First. Per James Musser: ""Softbound (no hardbound issued). First edition. Prints ""Apomorphine"" in it's entirety (in three-column style), as well as ""Day the Records Went Up,"" ""Coldspring News,"" ""Parenthetically 7 Hertz,"" and more. Among the scarcer Burroughs items. Fine. (French text.)""",D14,Apomorphine.resources/apomorphine_1388185250_o.jpg
A21,The Dead Star,San Francisco: The Nova Broadcast Press,1969,First.,A14a,The%20Dead%20Star_1.resources/the-dead-star_522301801_o.jpg
A21,The Dead Star,San Francisco: The Nova Broadcast Press,1969,First. Signed by Burroughs.,A14a,The%20Dead%20Star.resources/the-dead-star_522301663_o.jpg
C230,Fruit Cup 0,,1969,,"C243, C244",Fruit%20Cup%200.resources/fruit-cup-0_522289940_o.jpg
C262,"Wormwood Review 9, 4(36)",,1969,,C247,"Wormwood%20Review%209,%204(36).resources/wormwood-review-9-436_522299139_o.jpg"
D123,Le Ticket Qui Explosa,Paris: Christian Bourgois Editeur,1969,First French. Wrappers yellowed on spine.,D13,Le%20Ticket%20Qui%20Explosa.resources/the-ticket-that-exploded_522294956_o.jpg
H9a,Entretiens avec William Burroughs,Paris: Editions Pierre Belfond,1969,"First. Inscribed by Burroughs to the dealer and proprietor of Am Here Books, Richard Aaron:  ""For Richard Aaron, William Burroughs.""",A15a,Entretiens%20avec%20William%20Burroughs.resources/entretiens-avec-william-burroughs_522297793_o.jpg
A5e,The Soft Machine,London: Corgi Books,1970,First edition thus.,A5f,The%20Soft%20Machine_1.resources/Evernote%20Snapshot%2020171107%20212250.jpg
A22a,The Last Words of Dutch Schultz,London: Cape Goliard Press,1970,First. Some yellowing to dust jacket.,A17a,The%20Last%20Words%20of%20Dutch%20Schultz.resources/the-last-words-of-dutch-schultz_522293720_o.jpg
A22a,The Last Words of Dutch Schultz,London: Cape Goliard Press,1970,"First. Signed and numbered by Burroughs, 13 of 100. With tissue wraps as issued.",A17a,The%20Last%20Words%20of%20Dutch%20Schultz_1.resources/the-last-words-of-dutch-schultz_522302227_o.jpg
C280,IT: 74,,1970,,C269,IT%3A%2074.resources/Evernote%20Snapshot%2020171107%20212752.jpg
G94,The Braille Film,,1970,"San Francisco: Nova Broadcast Press, 1970.",B55a,The%20Braille%20Film.resources/the-braille-film_522295784_o.jpg
H9b,The Job,"New York: Grove Press, Inc.",1970,First.,A16a,The%20Job.resources/the-job_522300899_o.jpg
H9b,The Job,"New York: Grove Press, Inc.",1970,"First. Signed by Burroughs, inscribed ""To Mike”.",A16a,The%20Job_1.resources/the-job_522302211_o.jpg
H9b,The Job,"New York: Grove Press, Inc.",1970,First. Uncorrected proof. Comb-bound in slightly soiled faded orange wrappers.,A16a,The%20Job_3.resources/the-job_522299541_o.jpg
H9c,The Job,London: Jonathan Cape,1970,"First English. Personal copy of Allen Ginsberg, signed by Ginsberg and Burroughs. Inscribed by Burroughs on title page ""For Allen a co worker of many years with respect for his achievements in the cause of freedom William Burroughs 1980"". Ownership signature of Ginsberg on obverse of leaf before title page, with notation at bottom ""Signed June 12, 1980 by WSB."" Publisher's slip (""with compliments from Tom Maschler Jonathan Cape Ltd. 30 Bedford Square London SW1"") and postcard (with picture of Ginsberg and Peter Orlovsky copyright Elsa Dorfman and the Witkin Gallery) laid in.",A16b,The%20Job_2.resources/the-job_522297497_o.jpg
A23a,Ali's Smile - Record,"Brighton, England: Unicorn Books",1971,"First. A copy of the record with sleeve originally supplied with the book. This copy was purchased from a different source than my copy of the book, so there's no evidence that the two constituted a complete set. Since one would expect complete sets to stay together, it is unlikely that they ever were. But together they form a made-up copy.",A19a,Ali's%20Smile%20-%20Record.resources/alis-smile---record_522299571_o.jpg
A23a,Ali's Smile,"Brighton, England: Unicorn Books",1971,"First. Signed and numbered by Burroughs, 39 of 99. Unfortunately missing the original box and record.",A19a,Ali's%20Smile_1.resources/alis-smile_522300683_o.jpg
A24a,Electronic Revolution,Cambridge: Blackmoor Head Press,1971,"First. Includes four prints signed by Brion Gysin and publisher's prepublication announcement (Maynard and Miles F27) laid in. Inscribed by Burroughs ""for Philip Kaplan Williams Burroughs."" Number 10 of 50. In slipcase with numbered label.",A21a,Electronic%20Revolution_1.resources/electronic-revolution_522300125_o.jpg
A24a,Electronic Revolution,Cambridge: Blackmoor Head Press,1971,First.,A21a,Electronic%20Revolution_2.resources/electronic-revolution_522299857_o.jpg
A24a1,Electronic Revolution Prepublication Announcement,Cambridge: Blackmoor Head Press,1971,First. The prepublication announcement for Electronic Revolution (Maynard and Miles A21a).,F27,Electronic%20Revolution%20Prepublication%20Announcement.resources/electronic-revolution-prepublication-announcement_522291484_o.jpg
A24b,Die elektronische Revolution,Bonn: Expanded Media Editions,1971,First German. Number 11 of 100.,D27,Die%20elektronische%20Revolution.resources/the-electronic-revolution_522296723_o.jpg
A25,Jack Kerouac,Paris: L'Herne,1971,First. Signed by Burroughs at contribution.,A18a,Jack%20Kerouac.resources/jack-kerouac_522300641_o.jpg
A26a,The Wild Boys,"New York: Grove Press, Inc.",1971,First. Signed by Burroughs.,A20a,The%20Wild%20Boys.resources/the-wild-boys_522298329_o.jpg
C302,Antaeus 2,,1971,Maynard and Miles C304. Signed by Burroughs at entry.,C304,Antaeus%202.resources/antaeus-2_522295128_o.jpg
G30,Letter Out Of Nowhere,London: Anthony Harris,1971,"First. Per James Musser: ""Single sheet (done in the style of a letter) printing a cut-up by Burroughs of a Harris text.  Enclosed in a mailing envelope.  Slightly darkened from age, else fine (trivial wear to envelope).""",,Letter%20Out%20Of%20Nowhere.resources/letter-out-of-nowhere_522298949_o.jpg
G61,Promotional Flyer for Am Here Books,"Ollon, Switzerland: Am Here Books",1971,"Fascimile of an untitled Burroughs manuscript page, revised text appearing later as ""Seeing Red"" in Exterminator!  Printed on the verso of a promotional announcement for Am Here Books, one of 70 printed. Folded and sealed with a Fluxus stamp as issued.",,Promotional%20Flyer%20for%20Am%20Here%20Books.resources/promotional-flyer-for-am-here-books_522298519_o.jpg
I38a,William Burroughs - The Algebra of Need,Buffalo: INTREPID Press,1971,First. Signed by Eric Mottram.,,William%20Burroughs%20-%20The%20Algebra%20of%20Need.resources/william-burroughs---the-algebra-of-need_522295824_o.jpg
A15b,Time,"Sussex, England: Urgency Press Rip-Off",1972,"The piracy of the ""C"" Press edition.",A11b,Time.resources/time_522292410_o.jpg
A15b,Time,"Sussex, England: Urgency Press Rip-Off",1972,"The piracy of the ""C"" Press edition.  Some yellowing at top and bottom.",A11b,Time_2.resources/time_522299959_o.jpg
A20b,The Wild Boys,London: Calder and Boyars,1972,First English. Slightly soiled dust jacket.,A20b,The%20Wild%20Boys_2.resources/the-wild-boys_522301153_o.jpg
A26c,The Wild Boys,"New York: Grove Press, Inc.",1972,First American paperback. Signed by Burroughs.,A20d,The%20Wild%20Boys_1.resources/the-wild-boys_522300427_o.jpg
,Proposed Layout For WSB Archive Description,n.p.,1973,"Drawing by Barry Miles titled ""Proposed Layout For WSB Archive Description"", in reference to the ""A Descriptive Catalogue of the William S . Burroughs Archive,"". Drawing signed by Miles. Together with a letter and stamped envelope from Roberto Altmann to Philip Kaplan discussing a question about publishing matters at Altmann's Aperios imprint, and a 1974 New's Year greetings card from Maggy and Roberto Altmann, with artwork signed ""MA.""",,William%20Burroughs%20Archive%20-%20Proposed%20Layout%20For%20WSB%20Archive%20Description.resources/william-burroughs-archive---proposed-layout-for-wsb-archive-description_522290384_o.jpg
,William Burroughs Archive Contract,"Vaduz, Liechtenstein: n.p.",1973,"Richard Aaron's copy of the contract (in German) for the sale of Burroughs' literary archive, as described in ""A Descriptive Catalogue of the William S. Burroughs Archive,"" to Roberto Altmann. Signed by Burroughs, Brion Gysin, Richard Aaron and Altmann, and dated 23 June 1973. This is the archive now in the Berg Collection of the New York Public Library.",,William%20Burroughs%20Archive%20-%20Contract.resources/william-burroughs-archive---contract_522290360_o.jpg
,William Burroughs Archive - Flyer,n.p.,1973,"The typescript of the introductory section of ""A Descriptive Catalogue of the William S . Burroughs Archive,"" together with notes on the catalog by Brion Gysin on lined notebook paper. Notes slightly yellowed at top, else fine. Per James Musser: ""GYSIN, Brion.  Gysin's handwritten notes listing corrections for The Descriptive Catalog of the William S. Burroughs Archive published by Covent Garden in 1973.  3 pages.  4to.  Gysin carefully lists, page-by-page, suggested corrections to the text of the catalog of the Burroughs archive that also included much of his own material.  TOGETHER WITH two pages of original typescript by Gysin titled ""Flyer.""  Gysin's text, never published, was intended to be a promotional flyer describing the catalog of the Burroughs archive.  Fine.""",,William%20Burroughs%20Archive%20-%20Flyer.resources/william-burroughs-archive---flyer_522298767_o.jpg
A22b,Ali's Smile,"Bonn, Germany: Expanded Media Editions",1973,"First German. Bilingual English/German text. Number 22 of 100, signed by Burroughs.",,Ali's%20Smile.resources/alis-smile_522297177_o.jpg
A22b,Ali's Smile,"Bonn, Germany: Expanded Media Editions",1973,"First German. Bilingual English/German text. Number 24 of 100, signed by Burroughs. Slight bend in bottom edge.",,Ali's%20Smile_2.resources/alis-smile_522298835_o.jpg
A27,Exterminator!,"New York: The Viking Press, Inc.",1973,First. Dust jacket slightly soiled.,A23a,Exterminator!.resources/exterminator_522301065_o.jpg
A28,Mayfair Acadamy Series (More or Less),"Brighton, England: Urgency Press Rip-Off",1973,First.,A25a,Acadamy%20Series%20(More%20or%20Less).resources/acadamy-series-more-or-less_522293462_o.jpg
A30,White Subway,London: Aloes Press,1973,First. Signed by Burroughs. Number 13 of 25. In custom clamshell case.,A24a,White%20Subway.resources/white-subway_522297133_o.jpg
A30,White Subway,London: Aloes Press,1973,First. In wrappers with several small scrapes and spots.,A24a,White%20Subway_1.resources/white-subway_522301087_o.jpg
A31a,The Book of Breething,"Ingatestone, Essex, UK: OU Henri Chopin",1973,"First. The publisher's archive for The Book of Breething. Set in a four-ring binder, it contains: 1) the typescript of the book, with corrections in Burroughs' hand; 2) the contract between Burroughs, Verbrugghen and the publisher, Henri Chopin (in French), signed by Burroughs; 3) signed correspondence from Burroughs to Verbrugghen about the contract and completion of the book; 4) typescripts of French and Dutch translations of the text, by Jean Chopin and Verbrugghen, respectively; 5) a manuscript of the French translation by Jean Chopin; and 6) some of the original drawings by the artist, Bob Gale, being that on the cover and on pages 20, 22 and 28 of the first edition.",,The%20Book%20of%20Breething_1.resources/the-book-of-breething_522298489_o.jpg
G31,Brion Gysin Let The Mice In,"West Glover, England: Something Else Press, Inc.",1973,First. Dust jacket slightly worn and rubbed in places.,A22a,Brion%20Gysin%20Let%20The%20Mice%20In.resources/brion-gysin-let-the-mice-in_522293016_o.jpg
I6,Catalogue of the William S. Burroughs Archive,"London/Ollon: Covent Garden Press, Ltd./Am Here Books",1973,"Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, this one unlettered and unnumbered. Some foxing to edges, and the top edge of the front of the acetate dust jacket is cut off.",,Catalogue%20of%20the%20William%20S.%20Burroughs%20Archive_1.resources/catalogue-of-the-william-s-burroughs-archive_522297323_o.jpg
I6,A Descriptive Catalogue of the William S. Burroughs Archive,"London/Ollon: Covent Garden Press, Ltd./Am Here Books",1973,"Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, lettered O of 26. Bound in white leather. Laid in is a typescript signed by Burroughs with corrections in Burroughs' hand, corresponding to but with variations from the text on page 161 of the catalog describing Item 1 from Folio Number 65, starting ""Audrey Carsons, the Dead Child, the Frisco Kid..."" In slipcase.",,Catalogue%20of%20the%20William%20S.%20Burroughs%20Archive.resources/catalogue-of-the-william-s-burroughs-archive_522288794_o.jpg
I6,A Descriptive Catalogue of the William S. Burroughs Archive,"London/Ollon: Covent Garden Press, Ltd./Am Here Books",1973,"Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, this one unlettered and unnumbered. A presentation copy from Brion Gysin to Richard and Lilia Aaron. This copy has a full-page calligraphic drawing by Gysin (similar in form to the one numbered ""iv"" on the cover of the catalog) on the recto of the leaf before the title page. Signed by Gysin and inscribed ""for Lilia + Richard with love."" In acetate dust jacket.",,Catalogue%20of%20the%20William%20S.%20Burroughs%20Archive_2.resources/catalogue-of-the-william-s-burroughs-archive_522289296_o.jpg
,Jean Genet in Tangier,New York: The Ecco Press,1974,First. Signed by Burroughs.  Contains forward by Burroughs.,,Jean%20Genet%20in%20Tangier.resources/jean-genet-in-tangier_522302845_o.jpg
A27b,Exterminator! A Novel,London: Calder and Boyars,1974,Hardbound.,,Exterminator!%20A%20Novel.resources/exterminator-a-novel_11389859556_o.jpg
A31a,The Book of Breething,"Ingatestone, Essex, UK: OU Henri Chopin",1974,"First. Signed by Burroughs. One of 350, unnumbered, in wrappers. Some fading of print on front cover.",,The%20Book%20of%20Breething_5.resources/the-book-of-breething_522297759_o.jpg
,Electric Banana,"Cherry Valley, NY: Cherry Valley Editions",1975,"First. Signed by Mary Beach, one of 500 issued in wraps. Contains introduction by Burroughs. Price on back of cover wraps inked out.",,Electric%20Banana.resources/electric-banana_522298983_o.jpg
A22b,The Last Words of Dutch Schultz,"New York: Viking Press, Inc.",1975,First American.,,The%20Last%20Words%20of%20Dutch%20Schultz_2.resources/the-last-words-of-dutch-schultz_522293692_o.jpg
A29a,Port of Saints,"London: Covent Garden Press, Ltd.",1975,"First. Signed and numbered by Burroughs, number 32 of 100. Some rubbing to slipcase.",,Port%20of%20Saints.resources/port-of-saints_522297575_o.jpg
