ID,Title,Year,Maynard and Miles,Schottlaender,Description,Image
82,Catalogue of the William S. Burroughs Archive,1973,,I128,"London/Ollon: Covent Garden Press, Ltd./Am Here Books, 1973. Schottlaender I128. Signed by Burroughs, Brion Gysin and Miles. Signed limited edition of 226, this one unlettered and unnumbered. A presentation copy from Brion Gysin to Richard and Lilia Aaron. This copy has a full-page calligraphic drawing by Gysin (similar in form to the one numbered ""iv"" on the cover of the catalog) on the recto of the leaf before the title page. Signed by Gysin and inscribed ""for Lilia + Richard with love."" In acetate dust jacket.",Catalogue%20of%20the%20William%20S.%20Burroughs%20Archive_2.resources/catalogue-of-the-william-s-burroughs-archive_522289296_o.jpg
83,The Book of Breething,1973,,A30a,"Ingatestone, Essex, UK: OU Henri Chopin, 1973. First, Schottlaender A30a. The publisher's archive for The Book of Breething. Set in a four-ring binder, it contains: 1) the typescript of the book, with corrections in Burroughs' hand; 2) the contract between Burroughs, Verbrugghen and the publisher, Henri Chopin (in French), signed by Burroughs; 3) signed correspondence from Burroughs to Verbrugghen about the contract and completion of the book; 4) typescripts of French and Dutch translations of the text, by Jean Chopin and Verbrugghen, respectively; 5) a manuscript of the French translation by Jean Chopin; and 6) some of the original drawings by the artist, Bob Gale, being that on the cover and on pages 20, 22 and 28 of the first edition.",The%20Book%20of%20Breething_1.resources/the-book-of-breething_522298489_o.jpg
84,White Subway,1973,A24a,,"London: Aloes Press, 1973. First, Maynard and Miles A24a. In wrappers with several small scrapes and spots.",White%20Subway_1.resources/white-subway_522301087_o.jpg
85,William Burroughs Archive - Flyer,1973,,,"n.p., 1973. The typescript of the introductory section of ""A Descriptive Catalogue of the William S . Burroughs Archive,"" together with notes on the catalog by Brion Gysin on lined notebook paper. Notes slightly yellowed at top, else fine. Per James Musser: ""GYSIN, Brion.  Gysin's handwritten notes listing corrections for The Descriptive Catalog of the William S. Burroughs Archive published by Covent Garden in 1973.  3 pages.  4to.  Gysin carefully lists, page-by-page, suggested corrections to the text of the catalog of the Burroughs archive that also included much of his own material.  TOGETHER WITH two pages of original typescript by Gysin titled ""Flyer.""  Gysin's text, never published, was intended to be a promotional flyer describing the catalog of the Burroughs archive.  Fine.""",William%20Burroughs%20Archive%20-%20Flyer.resources/william-burroughs-archive---flyer_522298767_o.jpg
86,Exterminator!,1973,A23a,,"New York: The Viking Press, Inc., 1973. First, Maynard and Miles A23a. Dust jacket slightly soiled.",Exterminator!.resources/exterminator_522301065_o.jpg
87,Ali's Smile,1973,,A22b,"Bonn, Germany: Expanded Media Editions, 1973. Signed limited first German edition, Schottlaender A22b. Bilingual English/German text. Number 24 of 100, signed by Burroughs. Slight bend in bottom edge.",Ali's%20Smile_2.resources/alis-smile_522298835_o.jpg
88,Acadamy Series (More or Less),1973,A25a,,"Brighton: Urgency Press Rip-Off, 1973. First, Maynard and Miles A25a.",Acadamy%20Series%20(More%20or%20Less).resources/acadamy-series-more-or-less_522293462_o.jpg
89,Jean Genet in Tangier,1974,,,"New York: The Ecco Press, 1974. First. Signed by Burroughs.  Contains forward by Burroughs.",Jean%20Genet%20in%20Tangier.resources/jean-genet-in-tangier_522302845_o.jpg
90,The Book of Breething,1974,,A30a,"Ingatestone, Essex, UK: OU Henri Chopin, 1974. First, Schottlaender A30a. Signed by Burroughs. One of 350, unnumbered, in wrappers. Some fading of print on front cover.",The%20Book%20of%20Breething_5.resources/the-book-of-breething_522297759_o.jpg
91,Exterminator! A Novel,1974,,A26b,"London: Calder and Boyars, 1974. Schottlaender A26b. Hardbound.",Exterminator!%20A%20Novel.resources/exterminator-a-novel_11389859556_o.jpg
92,The Book of Breething,1975,,A30b,"Berkeley: Blue Wind Press, 1975. First American edition, Schottlaender A30b. Signed by Burroughs.",The%20Book%20of%20Breething_3.resources/the-book-of-breething_528564498_o.jpg
93,Verdelgen,1975,,A32,"Bussum, Netherlands: Uitgeverij Agathon, 1975. First, Schottlaender A32.",Verdelgen.resources/verdelgen_10499268055_o.jpg
94,Snack...,1975,,A31,"London: Aloes Books, 1975. First, Schottlaender A31.",Snack....resources/snack_522290800_o.jpg
95,Port of Saints,1975,,A28a,"London: Covent Garden Press, Ltd., 1975. Signed limited first, Schottlaender A28a. Signed and numbered by Burroughs, number 32 of 100. Some rubbing to slipcase.",Port%20of%20Saints.resources/port-of-saints_522297575_o.jpg
96,The Last Words of Dutch Schultz,1975,,A21b,"New York: Viking Press, Inc., 1975. First American edition, Schottlaender A21b.",The%20Last%20Words%20of%20Dutch%20Schultz_2.resources/the-last-words-of-dutch-schultz_522293692_o.jpg
97,William S. Burroughs: An Annotated Bibliography of his Works and Criticism,1975,,I11,"New York, NY: Garland Reference Library of the Humanities, 1975. First, Schottlaender I11. A bibliography compiled by Michael B. Goodman of SUNY, Stony Brook, predating the publication of Maynard and Miles. Without dust jacket as issued. ",William%20S.%20Burroughs%3A%20An%20Annotated%20Bibliography%20of%20his%20Works%20and%20Criticism.resources/william-s-burroughs-an-annotated-bibliography-of-his-works-and-criticism_1681872212_o.jpg
98,Electric Banana,1975,,,"Cherry Valley, NY: Cherry Valley Editions, 1975. First. Signed by Mary Beach, one of 500 issued in wraps. Contains introduction by Burroughs. Price on back of cover wraps inked out.",Electric%20Banana.resources/electric-banana_522298983_o.jpg
99,The Book of Breething,1975,,A30b,"Berkeley: Blue Wind Press, 1975. Simultaneous wraps issue of first American edition, Schottlaender A30b.",The%20Book%20of%20Breething_4.resources/the-book-of-breething_528564480_o.jpg
